output_id,base_color_id,description,target_order,level_rank,level_index,offset_steps,offset_L,grey_L,grey_u,grey_v,delta_L,delta_U,delta_V,target_L,target_u,target_v,target_X,target_Y,target_Z,pred_r_float,pred_g_float,pred_b_float,pred_r_int,pred_g_int,pred_b_int,in_gamut,out_of_gamut_channels
108,35,"between MAGENTA and RED, step 5 of 5",35,2,2,-3,-6.0,64.0,12.406933120096937,-8.907369814500072,0.0,44.893355933513675,-6.630118031468575,64.0,57.30028905361061,-15.537487845968647,0.15998001144162635,0.12373337923409793,0.1406165614494505,184.5807232707739,136.5323613770306,153.24824295938015,185,137,153,True,0
109,0,RED handle,0,3,3,-2,-4.0,66.0,12.406933120096937,-8.907369814500072,0.0,45.30400801666679,2.2081055997562062,66.0,57.71094113676373,-6.699264214743866,0.16724671787289122,0.1332473160967697,0.13277279519072618,188.27403768897057,143.36879398673773,150.49482710659504,188,143,150,True,0
110,1,"between RED and YELLOW, step 1 of 5",1,3,3,-2,-4.0,66.0,12.406933120096937,-8.907369814500072,0.0,44.57649568487194,11.025903391501387,66.0,56.983428804968874,2.1185335770013154,0.16311855259259833,0.1332473160967697,0.11576911200643339,186.51827730238438,144.72395706921816,143.95902581512928,187,145,144,True,0
111,2,"between RED and YELLOW, step 2 of 5",2,3,3,-2,-4.0,66.0,12.406933120096937,-8.907369814500072,0.0,42.694740102813135,19.671239013587495,66.0,55.10167322291007,10.763869199087424,0.15840329702987474,0.1332473160967697,0.1000721549812611,184.35216553509235,146.23333677649498,137.05710276961327,184,146,137,True,0
112,3,"between RED and YELLOW, step 3 of 5",3,3,3,-2,-4.0,66.0,12.406933120096937,-8.907369814500072,0.0,39.63477568334325,27.97301291083334,66.0,52.04170880344019,19.065643096333268,0.15317541472008034,0.1332473160967697,0.08589042647428666,181.7617191374302,147.85004742443562,129.16479849256575,182,148,129,True,0
113,4,"between RED and YELLOW, step 4 of 5",4,3,3,-2,-4.0,66.0,12.406933120096937,-8.907369814500072,0.0,35.372040056783476,35.726200453279866,66.0,47.77897317688041,26.818830638779794,0.14750446483176066,0.1332473160967697,0.07345785866643609,178.7436854839325,149.54213082790375,120.14032691717148,179,150,120,True,0
114,5,"between RED and YELLOW, step 5 of 5",5,3,3,-2,-4.0,66.0,12.406933120096937,-8.907369814500072,0.0,29.897177811347095,42.67664759608468,66.0,42.30411093144403,33.769277781584606,0.14146765052001659,0.1332473160967697,0.06305759125292597,175.3236524015665,151.28632843494415,110.5667045339942,175,151,111,True,0
115,6,YELLOW handle,6,3,3,-2,-4.0,66.0,12.406933120096937,-8.907369814500072,0.0,23.245838369923515,48.51124404491406,66.0,35.652771490020456,39.603874230413986,0.13516790507614332,0.1332473160967697,0.05503537463377649,171.55634835362434,153.06320428848267,101.66523948311806,172,153,102,True,0
116,7,"between YELLOW and GREEN, step 1 of 5",7,3,3,-2,-4.0,66.0,12.406933120096937,-8.907369814500072,0.0,15.54539019881734,52.86852875587553,66.0,27.952323318914278,43.96115894137546,0.12875610802219903,0.1332473160967697,0.04978389749798141,167.5125103443861,154.85101595520973,94.96444344520569,168,155,95,True,0
117,8,"between YELLOW and GREEN, step 2 of 5",8,3,3,-2,-4.0,66.0,12.406933120096937,-8.907369814500072,0.0,7.065500398230156,55.39326657530833,66.0,19.472433518327094,46.48589676080826,0.1224464053674214,0.1332473160967697,0.047670713358964105,163.25919337570667,156.6200015321374,91.84028148651123,163,157,92,True,0
118,9,"between YELLOW and GREEN, step 3 of 5",9,3,3,-2,-4.0,66.0,12.406933120096937,-8.907369814500072,0.0,-1.77088235378375,55.84178853554699,66.0,10.636050766313188,46.93441872104692,0.11650185923853566,0.1332473160967697,0.04890807413423752,158.8398690149188,158.32994017750025,93.02264884114265,159,158,93,True,0
119,10,"between YELLOW and GREEN, step 4 of 5",10,3,3,-2,-4.0,66.0,12.406933120096937,-8.907369814500072,0.0,-10.461969785024724,54.18413014215614,66.0,1.944963335072213,45.27676032765607,0.11117894923034773,0.1332473160967697,0.053439979332014845,154.26566306501627,159.93525713682175,98.26234918087721,154,160,98,True,0
120,11,"between YELLOW and GREEN, step 5 of 5",11,3,3,-2,-4.0,66.0,12.406933120096937,-8.907369814500072,0.0,-18.557434321904815,50.61393602721401,66.0,-6.150501201807877,41.70656621271394,0.10666414940936846,0.1332473160967697,0.060953168168798616,149.53358318656683,161.39714509248734,106.40062898397446,150,161,106,True,0
121,12,GREEN handle,12,3,3,-2,-4.0,66.0,12.406933120096937,-8.907369814500072,0.0,-25.74731563678954,45.457538179388806,66.0,-13.340382516692603,36.550168364888734,0.10305212856387286,0.1332473160967697,0.07100520262359289,144.66981377452612,162.69003331661224,115.83379665389657,145,163,116,True,0
122,13,"between GREEN and CYAN, step 1 of 5",13,3,3,-2,-4.0,66.0,12.406933120096937,-8.907369814500072,0.0,-31.865350191240655,39.06594328619317,66.0,-19.458417071143717,30.158573471693096,0.10036891387183275,0.1332473160967697,0.08315623488444038,139.77571723982692,163.8003109395504,125.09929689578712,140,164,125,True,0
123,14,"between GREEN and CYAN, step 2 of 5",14,3,3,-2,-4.0,66.0,12.406933120096937,-8.907369814500072,0.0,-36.84453482268064,31.752219713715025,66.0,-24.437601702583706,22.844849899214953,0.09860773113337445,0.1332473160967697,0.0970337184365159,135.05478121340275,164.72046956419945,133.33176082000136,135,165,133,True,0
124,15,"between GREEN and CYAN, step 3 of 5",15,3,3,-2,-4.0,66.0,12.406933120096937,-8.907369814500072,0.0,-40.67058549746014,23.774490191929065,66.0,-28.2636523773632,14.867120377428993,0.0977553467261394,0.1332473160967697,0.11233917998179695,130.80996106378734,165.44371515512466,140.43854417279363,131,165,140,True,0
