r,g,b,X,Y,Z,L,u,v,pred_invalid_xyz
165.75,165.75,204.0,0.1571952998638153,0.15401136875152588,0.272204726934433,70.05549807049613,-1.9634507677843545,-48.627651395325934,False
165.75,165.75,216.75,0.16116011142730713,0.15421804785728455,0.3075166940689087,70.09397558334246,-3.5141650652664755,-60.94943252853244,False
165.75,165.75,229.5,0.16528619825839996,0.1545792520046234,0.34287509322166443,70.16113861326504,-4.929214475769438,-72.43037001055926,False
191.25,153.0,102.0,0.16853250563144684,0.15431848168373108,0.0574471652507782,70.11266096884842,54.89037264292619,43.30419352347163,False
191.25,153.0,114.75,0.1691809743642807,0.15353712439537048,0.07390312850475311,69.96707755046532,52.369913158144705,34.0777069395733,False
191.25,153.0,127.5,0.1702057272195816,0.15280306339263916,0.09347435086965561,69.82985576380072,49.5725050947702,23.55141985365479,False
191.25,153.0,255.0,0.20013701915740967,0.15260909497737885,0.40870389342308044,69.79352287413863,19.818694115577312,-95.99446760199257,False
216.75,140.25,153.0,0.20945100486278534,0.15486428141593933,0.14026367664337158,70.21406374014285,82.21238165313197,-3.213278125883617,False
216.75,140.25,165.75,0.2114606648683548,0.15447893738746643,0.16886474192142487,70.14249641327892,77.55211768150738,-15.882938101116554,False
216.75,140.25,178.5,0.2138715237379074,0.15423668920993805,0.19994397461414337,70.09744435914736,72.84035579620667,-28.789765154709354,False
216.75,140.25,191.25,0.2166416198015213,0.15414883196353912,0.23299053311347961,70.0810934698137,68.18394572924142,-41.60886975705046,False
216.75,140.25,204.0,0.2197139710187912,0.15421994030475616,0.267405241727829,70.0943277419954,63.67807913564491,-54.051629415229904,False
216.75,140.25,216.75,0.22302137315273285,0.15444861352443695,0.30254340171813965,70.13685951924383,59.39947848041247,-65.88435352982535,False
216.75,140.25,229.5,0.22649231553077698,0.15482886135578156,0.33776232600212097,70.20749037121801,55.40303483400693,-76.93715789742602,False
229.5,127.5,89.25,0.22372335195541382,0.15476585924625397,0.04172896221280098,70.19579575873901,129.11687938419462,42.09593298924037,False
229.5,127.5,102.0,0.2237454205751419,0.15417779982089996,0.05522637441754341,70.08648529065411,125.36427134786726,34.671505296441374,False
229.5,127.5,114.75,0.22407908737659454,0.1535957157611847,0.0716189444065094,69.97801147047453,121.13307066964994,25.934693163645868,False
229.5,127.5,127.5,0.22477738559246063,0.15305274724960327,0.09111106395721436,69.87657966881098,116.44381988849672,15.946325900485718,False
229.5,127.5,140.25,0.22587883472442627,0.15258048474788666,0.11377827823162079,69.78816118892546,111.35582770683939,4.8623929065738105,False
229.5,127.5,216.75,0.24062186479568481,0.1524444818496704,0.30196088552474976,69.76266446635101,78.65141517669542,-68.78412537132932,False
229.5,127.5,229.5,0.244012713432312,0.1529463231563568,0.3371998369693756,69.85667050583989,73.86208615612776,-79.6457166963723,False
229.5,127.5,242.25,0.24749287962913513,0.1535865068435669,0.3719151020050049,69.97629314943775,69.44575752981808,-89.62969837828824,False
229.5,127.5,255.0,0.2509978711605072,0.15435296297073364,0.4055812358856201,70.11907423017331,65.41985806938001,-98.68649846105845,False
242.25,114.75,76.5,0.24345269799232483,0.1549072116613388,0.03015092946588993,70.22202952998835,157.75736975606364,44.85727402415954,False
242.25,114.75,89.25,0.2431984543800354,0.15448428690433502,0.041054319590330124,70.14349075685791,153.98413292118818,38.85909349290814,False
242.25,114.75,102.0,0.24319109320640564,0.1540319174528122,0.05455722287297249,70.05932516910289,149.6931433733848,31.59319571011495,False
242.25,114.75,114.75,0.24349266290664673,0.15358249843120575,0.0709608644247055,69.97554518565396,144.8653462004778,23.030769356350692,False
242.25,114.75,127.5,0.24415597319602966,0.15316933393478394,0.09046921133995056,69.89837939648696,139.52252482810064,13.232218863149265,False
242.25,114.75,140.25,0.2452196180820465,0.15282389521598816,0.1131567656993866,69.83375601533311,133.73104688392212,2.3512792654459918,False
242.25,114.75,153.0,0.24670284986495972,0.1525745391845703,0.13894633948802948,69.78704687960375,127.59524005096326,-9.374953531434985,False
242.25,114.75,165.75,0.2486042082309723,0.15244513750076294,0.16760143637657166,69.76278741888072,121.24721346374248,-21.650287673812638,False
242.25,114.75,178.5,0.2509002387523651,0.1524527668952942,0.19873479008674622,69.76421811330809,114.83198658478065,-34.152489262265355,False
242.25,114.75,191.25,0.2535487711429596,0.1526084542274475,0.2318333387374878,69.7934028020664,108.49151074555097,-46.566497681034406,False
242.25,114.75,204.0,0.2564924955368042,0.1529160887002945,0.26629549264907837,69.85101274577238,102.35230155854612,-58.61312264660189,False
242.25,114.75,216.75,0.2596639096736908,0.15337468683719635,0.3014756739139557,69.93675001088609,96.51478090318057,-70.06636963977066,False
242.25,114.75,229.5,0.2629912495613098,0.1539773792028427,0.33672985434532166,70.0491669302087,91.0518469218686,-80.762480882162,False
242.25,114.75,242.25,0.2664041817188263,0.15471448004245758,0.3714573085308075,70.18625626997891,86.00770715043141,-90.59793060381452,False
255.0,89.25,255.0,0.28881651163101196,0.15340793132781982,0.405943900346756,69.94295859099299,99.81117101823955,-102.63820679469559,False
