id,n_rows,r_target_mean,g_target_mean,b_target_mean,r_pred_mean,g_pred_mean,b_pred_mean,mae_rgb_mean
67,3,153.0,143.0,171.0,158.43183360993862,148.68744648993015,168.72697837650776,4.333333333333333
68,3,246.0,88.0,22.0,245.4503194987774,74.76038292050362,22.410629987716675,4.777777777777778
69,3,97.0,241.0,192.0,86.12305633723736,240.78883096575737,191.06385558843613,4.0
70,3,88.0,119.0,150.0,83.74749347567558,122.46329094283283,150.6996202841401,2.7777777777777772
71,3,206.0,221.0,64.0,203.18864777684212,221.7336767911911,56.784277111291885,3.7777777777777772
72,3,160.0,9.0,249.0,164.25241447985172,31.356429159641266,246.54131948947906,9.666666666666666
73,3,55.0,160.0,45.0,46.93164899945259,160.41280537843704,35.10233908891678,6.0
74,3,32.0,72.0,236.0,31.897005885839462,61.251365542411804,236.27704933285713,3.888888888888889
75,3,182.0,224.0,58.0,178.843849375844,224.33532878756523,49.586178958415985,3.888888888888889
76,3,216.0,54.0,128.0,214.59292262792587,45.129919946193695,132.51607283949852,4.888888888888889
77,3,79.0,159.0,87.0,73.56477327644825,160.41418090462685,85.27812100946903,2.7777777777777772
78,3,119.0,26.0,1.0,122.8033041395247,22.96086072921753,16.888996809720993,7.666666666666667
79,3,225.0,176.0,214.0,227.55077451467514,178.2853439450264,217.00921550393105,2.5555555555555554
80,3,143.0,103.0,108.0,147.51276928931475,103.38651355355978,112.67789088189602,3.111111111111111
81,3,25.0,206.0,186.0,32.0187209546566,203.87346729636192,184.9788887053728,3.3333333333333335
82,3,21.0,105.0,52.0,22.086900025606155,105.45618839561939,41.83408319950104,3.6666666666666665
83,3,130.0,192.0,226.0,132.2372779995203,189.53963831067085,228.42983201146126,2.3333333333333335
84,3,236.0,24.0,88.0,237.7211694419384,22.8597354888916,83.3114567399025,2.6666666666666665
85,3,122.0,190.0,142.0,126.69232927262783,187.824387550354,143.8512946292758,2.888888888888889
86,3,67.0,56.0,215.0,55.15627980232239,46.783489882946014,216.31178066134453,7.444444444444444
87,3,212.0,145.0,15.0,211.1909879744053,151.5145106241107,25.72071596980095,6.222222222222221
88,3,187.0,70.0,180.0,183.04274439811707,60.29570162296295,177.37050250172615,5.666666666666667
89,3,45.0,238.0,98.0,37.31530234217644,238.48005205392838,96.97338551282883,3.111111111111111
90,3,59.0,7.0,162.0,46.40065282583237,23.39871883392334,158.8646810501814,10.666666666666666
91,3,173.0,174.0,116.0,173.32266964018345,174.66732248663902,119.74813032895327,1.6666666666666667
92,3,194.0,121.0,206.0,191.76473051309586,121.89555184915662,207.39271938800812,1.3333333333333333
93,3,85.0,207.0,24.0,78.60186025500298,205.64376950263977,25.000193566083908,2.7777777777777772
94,3,108.0,86.0,78.0,108.5807765647769,81.71787038445473,73.27954791486263,3.2222222222222228
95,3,250.0,255.0,152.0,254.1511483490467,255.0,154.32973966002464,2.0
96,3,148.0,41.0,35.0,151.0550183802843,32.113394141197205,27.971988767385483,6.333333333333333
97,3,3.0,129.0,243.0,29.3330579996109,134.93632066994905,243.80495458841324,11.111111111111112
98,3,6.0,94.0,134.0,21.931756883859634,93.25920641422272,137.13643554598093,6.666666666666667
99,3,147.0,246.0,81.0,151.0054437071085,245.09259909391403,73.43778155744076,4.222222222222222
100,3,253.0,32.0,234.0,250.8020992577076,35.04493936896324,234.36093881726265,1.6666666666666667
101,3,108.0,137.0,60.0,109.87548235803843,141.87234941869974,51.06925964355469,5.333333333333333
102,3,82.0,16.0,106.0,73.7604197114706,21.57322332262993,109.15753874927759,5.666666666666667
103,3,196.0,165.0,188.0,194.71945956349373,168.11733275651932,186.44830152392387,1.888888888888889
104,3,169.0,113.0,7.0,168.17856900393963,116.67273970320821,21.203733682632446,6.333333333333333
105,3,60.0,216.0,207.0,48.680991530418396,213.94617706537247,208.85453388094902,5.111111111111111
106,3,42.0,48.0,16.0,29.231540113687515,35.19401550292969,16.547045558691025,9.0
107,3,187.0,153.0,198.0,186.51827223598957,157.69795175641775,198.05284336209297,1.777777777777778
108,3,210.0,78.0,125.0,207.5132641196251,69.67071816325188,130.39350618142635,5.222222222222222
109,3,68.0,231.0,169.0,55.66495090723038,230.94939827919006,166.71240501105785,4.777777777777778
110,3,125.0,98.0,251.0,124.37700449954718,91.25123962759972,249.34425935149193,3.111111111111111
111,3,235.0,199.0,42.0,235.26856064796448,197.49919533729553,38.8909587264061,1.4444444444444444
112,3,133.0,31.0,144.0,136.62294819951057,30.18273040652275,144.60824124515057,2.0
113,3,20.0,182.0,70.0,27.041532695293427,179.73160207271576,60.32032936811447,6.222222222222221
114,3,30.0,17.0,200.0,28.451533168554306,26.458846628665924,199.57720503211021,3.7777777777777772
115,3,136.0,184.0,30.0,141.24996814876795,182.55644395947456,26.879663914442062,3.0
116,3,229.0,111.0,164.0,228.19392293691635,110.1959166303277,162.20653966069221,1.3333333333333333
117,3,112.0,198.0,114.0,114.23475062474608,195.45778021216393,117.73996848613024,3.0
118,3,73.0,64.0,37.0,61.53557002544403,51.64511114358902,27.881685346364975,10.777777777777777
119,3,223.0,233.0,241.0,223.73551324009895,233.1314691901207,242.2378908097744,0.6666666666666666
120,3,177.0,62.0,72.0,174.6148992329836,51.28387212753296,64.52448964118958,6.777777777777779
121,3,40.0,150.0,158.0,37.73654520511627,153.97855553776026,156.47811461240053,2.4444444444444446
122,3,50.0,127.0,94.0,42.566514164209366,130.67298918031156,94.3371731042862,3.7777777777777772
123,3,167.0,214.0,136.0,169.35236021876335,212.0281818509102,138.46335094422102,2.111111111111111
124,3,201.0,2.0,50.0,201.78656607866287,22.31396570801735,42.03012228012085,9.777777777777777
125,3,95.0,168.0,228.0,88.52330140769482,169.6277390420437,230.7123999297619,3.7777777777777772
126,3,102.0,46.0,178.0,99.00745183229446,39.09514710307121,175.6803810596466,4.0
127,3,239.0,135.0,100.0,239.84314531087875,138.12141615897417,100.16678608953953,1.3333333333333333
128,3,158.0,81.0,221.0,162.54495710134506,71.22235983610153,222.735515832901,5.555555555555556
129,3,8.0,248.0,9.0,21.872059553861618,248.03235441446304,21.78802579641342,8.888888888888888
130,3,10.0,27.0,180.0,22.62406200170517,27.24421888589859,177.1512808650732,5.333333333333333
131,3,159.0,179.0,100.0,162.58604429662228,178.38247686624527,100.37968296557665,1.777777777777778
132,3,241.0,100.0,217.0,241.4607109129429,92.64437153935432,219.46335434913635,3.111111111111111
133,3,104.0,205.0,15.0,102.55193710327148,203.76648783683777,22.867882251739502,3.5555555555555554
134,3,94.0,75.0,89.0,90.61889909207821,66.10970884561539,88.66626620292664,4.0
