id,n_rows,X_target_mean,Y_target_mean,Z_target_mean,X_pred_mean,Y_pred_mean,Z_pred_mean,mae_xyz_mean
129,3,0.12111727012737539,0.3294051670151635,0.018916808068937665,0.11280795931816101,0.31618162989616394,0.012563653290271759,0.00929533423562661
130,3,0.036054421775339296,0.01715398527299818,0.21395859532551945,0.0356362909078598,0.015551798045635223,0.22455887496471405,0.004206865911345684
131,3,0.1354341892909265,0.17549496805297296,0.05706956752161755,0.13710781931877136,0.17784889042377472,0.05781405419111252,0.0015906796893805286
132,3,0.2606727412219534,0.1458781493457202,0.30213060341066617,0.25582432746887207,0.1435081958770752,0.3034352958202362,0.0028410198770987736
133,3,0.10016687413901719,0.21137880618409144,0.011900852676950091,0.10059906542301178,0.21790726482868195,0.011656858026981354,0.0024015481928512795
134,3,0.03706942121124002,0.031941045016124194,0.04336341667753524,0.035118360072374344,0.030768420547246933,0.04257053881883621,0.0013055211554806499
135,3,0.22853287380642384,0.2956271337650513,0.12081784622903254,0.22797442972660065,0.292167991399765,0.12270694971084595,0.001968896642307614
136,3,0.09826658513991104,0.05462472557458054,0.013494341749660277,0.1039876937866211,0.05697332322597504,0.014048874378204346,0.0028747463088828694
137,3,0.09250800594239213,0.11191425099853279,0.35258284322863903,0.09109854698181152,0.11182309687137604,0.34912946820259094,0.0016736629026674456
138,3,0.023003468365648743,0.052938176175262495,0.00809184014980248,0.022571122273802757,0.05087364837527275,0.010659806430339813,0.0016882800574576848
139,3,0.21094722597530854,0.2560137306682559,0.3860154078463618,0.21300405263900757,0.25853589177131653,0.37927135825157166,0.0037743457871832753
140,3,0.19700067613097408,0.09775190048577233,0.02952780198045035,0.1986391842365265,0.09617087244987488,0.025591090321540833,0.002385415933453127
141,3,0.07313653183220377,0.12135105128381925,0.14604606767806938,0.07386457920074463,0.12205777317285538,0.14952528476715088,0.0016379954488861537
142,3,0.0790671272977714,0.03886130244992017,0.29007238877242675,0.07759346067905426,0.03747627139091492,0.29472920298576355,0.0025051706303530793
143,3,0.23447096552559862,0.17297475487566893,0.006109013048916878,0.23285309970378876,0.17307601869106293,0.0063317203894257545,0.0006472789925709117
144,3,0.0888187240993849,0.06217912192628513,0.16537268615740716,0.08829990029335022,0.060204386711120605,0.17055708169937134,0.002559318187721128
145,3,0.1213695544358121,0.3008788732371819,0.0850996767248433,0.11851328611373901,0.2927367091178894,0.08539789170026779,0.003766521920933961
146,3,0.07832154807889907,0.04945327844439834,0.4329966754452679,0.07338978350162506,0.04432419687509537,0.4233853816986084,0.006557379964412168
147,3,0.16465378237138403,0.3459521428499415,0.02567046863600607,0.16147460043430328,0.33169180154800415,0.025324638932943344,0.005928450980693614
148,3,0.22962693151860059,0.11592783759891452,0.13200885686680996,0.22491072118282318,0.11405755579471588,0.13495565950870514,0.0031777649272904072
149,3,0.07088742788856296,0.08639083289734766,0.023381596348256404,0.07076095044612885,0.08484426140785217,0.025527900084853172,0.0012731175561754566
150,3,0.2840999662596783,0.14124960237655107,0.00010972932807165686,0.2650274634361267,0.1263946294784546,0.0,0.011345735016573232
151,3,0.1732994884402541,0.32020663189765264,0.4149463773108075,0.16145645081996918,0.3123835027217865,0.42131778597831726,0.008679191821220246
152,3,0.34592529644470477,0.37729804554131396,0.37881835249864704,0.3505610525608063,0.3771093785762787,0.38982170820236206,0.0052759262616172515
153,3,0.0310340497607359,0.01537323054713892,1.3154745995569136e-05,0.02376081794500351,0.0099005913361907,0.0019161568488925695,0.004882957709859204
154,3,0.01564239618312728,0.0413160791126757,0.002336282619511299,0.011571042239665985,0.03209784999489784,0.0031522405333817005,0.004701846991703185
155,3,0.0096604534519343,0.004396605565805684,0.057922224464857876,0.008969362825155258,0.004500576760619879,0.050536397844552994,0.00272696281396604
156,3,0.1541346236140205,0.1511856349713625,0.229105725203174,0.15369576215744019,0.1493798792362213,0.23150059580802917,0.0015464959321922244
157,3,0.17228139970883657,0.17238291819378862,0.29238627745017276,0.17281129956245422,0.17272554337978363,0.2899954915046692,0.0010877703283720768
