rep,id,r,g,b,X,Y,Z,source_file,valid_rgb,valid_xyz
0,157,173,175,211,0.17241416699031972,0.17246753153560893,0.2924784343453496,color_battery_amoled_B.csv,True,True
1,0,0,0,0,1.3382369549180758e-05,6.875678665958589e-06,2.4789906544715844e-05,color_battery_amoled_B.csv,True,True
1,1,255,255,255,0.34545127452278523,0.37730766429131046,0.37886558590929476,color_battery_amoled_B.csv,True,True
1,2,11,115,212,0.06611561886611735,0.06369136679078617,0.3081588239912474,color_battery_amoled_B.csv,True,True
1,3,157,218,2,0.16005452818793053,0.26590572099389104,0.013177118218815504,color_battery_amoled_B.csv,True,True
1,4,242,14,183,0.25450583289995493,0.1251007855224005,0.20560431714373825,color_battery_amoled_B.csv,True,True
1,5,101,163,110,0.07648321208814261,0.12651623507544796,0.06997588021748906,color_battery_amoled_B.csv,True,True
1,6,92,34,56,0.027154447754247336,0.015588260961156456,0.015718575007495836,color_battery_amoled_B.csv,True,True
1,7,202,139,237,0.2047091814337005,0.14364639364576243,0.36897284289098387,color_battery_amoled_B.csv,True,True
1,8,164,93,84,0.10545118506867789,0.07419909950888343,0.03713108818257859,color_battery_amoled_B.csv,True,True
1,9,51,244,130,0.12771972595756073,0.3047909583573925,0.10479744727241809,color_battery_amoled_B.csv,True,True
1,10,36,29,67,0.007300191475596545,0.00504661959461767,0.022931452116753397,color_battery_amoled_B.csv,True,True
1,11,178,180,147,0.1665653826348371,0.18629168081867412,0.12900595169332846,color_battery_amoled_B.csv,True,True
1,12,220,100,46,0.19958351362148646,0.12382429716174113,0.01016128964379466,color_battery_amoled_B.csv,True,True
1,13,75,202,248,0.1331052169408665,0.19032424591064426,0.40877337942858183,color_battery_amoled_B.csv,True,True
1,14,115,76,174,0.0711469379527285,0.04590527837765929,0.19365917799938787,color_battery_amoled_B.csv,True,True
1,15,229,229,120,0.2818031714091246,0.3299468101938739,0.08140045335168962,color_battery_amoled_B.csv,True,True
1,16,139,50,194,0.09555271776061253,0.04958864691801713,0.2479210597688028,color_battery_amoled_B.csv,True,True
1,17,29,155,21,0.040696799241624095,0.10572246300629615,0.007424503451314468,color_battery_amoled_B.csv,True,True
1,18,17,60,154,0.0287981633984397,0.020944710085001074,0.149307784426089,color_battery_amoled_B.csv,True,True
1,19,134,149,76,0.08991007851712299,0.11611107708836635,0.03269417309267306,color_battery_amoled_B.csv,True,True
1,20,232,66,246,0.2451868367016473,0.1245674792082206,0.3898352771214956,color_battery_amoled_B.csv,True,True
1,21,126,235,32,0.14265493911102528,0.2951626190513174,0.01937890322241034,color_battery_amoled_B.csv,True,True
1,22,71,109,118,0.03974042896315317,0.05225178135360802,0.08013952920163585,color_battery_amoled_B.csv,True,True
1,23,208,196,160,0.2236742502094264,0.23479691208769266,0.15355448862973867,color_battery_amoled_B.csv,True,True
1,24,191,19,27,0.13626099525733923,0.06802692119759118,0.0026927125258198463,color_battery_amoled_B.csv,True,True
1,25,41,186,203,0.09859785209094646,0.15948607418379468,0.27711383521575705,color_battery_amoled_B.csv,True,True
1,26,63,83,12,0.018750212054465896,0.02853037074692378,0.0018983523282483281,color_battery_amoled_B.csv,True,True
1,27,169,250,218,0.22118081921484894,0.3298251255536874,0.3074306229848856,color_battery_amoled_B.csv,True,True
1,28,198,44,96,0.1523942125298904,0.07870107127719604,0.04721279480275609,color_battery_amoled_B.csv,True,True
1,29,81,133,182,0.07127260544908147,0.0827302125747956,0.21540821226491258,color_battery_amoled_B.csv,True,True
1,30,104,4,223,0.08163019512907281,0.03779351248971524,0.3446665483353322,color_battery_amoled_B.csv,True,True
1,31,254,169,55,0.2970916222795747,0.23514407705464152,0.017859040153677796,color_battery_amoled_B.csv,True,True
1,32,144,125,140,0.09928724415094602,0.09128834553375378,0.11596294080223983,color_battery_amoled_B.csv,True,True
1,33,7,212,90,0.08733474057890092,0.2225586952075502,0.052250875491056586,color_battery_amoled_B.csv,True,True
1,34,2,11,40,0.0013793949063822346,0.0008924914515641238,0.007504726928371797,color_battery_amoled_B.csv,True,True
1,35,151,162,254,0.1566345117579343,0.14240570941727415,0.42373021116778825,color_battery_amoled_B.csv,True,True
1,36,249,117,69,0.26829904393896203,0.16711405717302497,0.022365998586890767,color_battery_amoled_B.csv,True,True
1,37,112,219,146,0.1292698412843831,0.24198523894592072,0.13123971071946428,color_battery_amoled_B.csv,True,True
1,38,86,90,196,0.06677918339003655,0.04946186537836159,0.255891473078842,color_battery_amoled_B.csv,True,True
1,39,192,243,19,0.2258724851535012,0.3480382077299016,0.017326405020300025,color_battery_amoled_B.csv,True,True
1,40,173,37,168,0.1261412809412463,0.06322470182047017,0.1755104577322106,color_battery_amoled_B.csv,True,True
1,41,56,141,126,0.049951512766667115,0.08657774726944899,0.09364281907353239,color_battery_amoled_B.csv,True,True
1,42,46,101,189,0.05407156322691365,0.04973194583890753,0.2369174195178406,color_battery_amoled_B.csv,True,True
1,43,183,204,105,0.18290904227759208,0.23801621616196533,0.06333365729729795,color_battery_amoled_B.csv,True,True
1,44,213,28,210,0.20148503962542225,0.09855050694871188,0.2875708404097833,color_battery_amoled_B.csv,True,True
1,45,64,178,4,0.06250753392593897,0.1487161925164431,0.008286073749085437,color_battery_amoled_B.csv,True,True
1,46,121,52,82,0.05143181913026117,0.031220986201200826,0.03543495642566867,color_battery_amoled_B.csv,True,True
1,47,239,157,132,0.2619225132070586,0.20016293666035165,0.09552209184245916,color_battery_amoled_B.csv,True,True
1,48,129,74,62,0.05943942277418994,0.04266999488539336,0.019385113911655562,color_battery_amoled_B.csv,True,True
1,49,24,226,232,0.13960894599158205,0.24624090722863282,0.3602363945630239,color_battery_amoled_B.csv,True,True
